60,6.66,10,1.5015,0.17868,17.868,12,12,1,0
6,66.66,80,1.2001,0.14281,1.7852,11,12,1,0
12,33.33,40,1.2001,0.14281,3.5704,11,12,1,0
30,13.33,20,1.5004,0.17854,8.9272,11,12,1,0
60,6.66,10,1.5015,0.17868,17.868,11,12,1,0
6,66.66,100,1.5002,0.17852,1.7852,10,12,1,0
12,33.33,51,1.5302,0.18209,3.5704,10,12,1,0
30,13.33,24,1.8005,0.21425,8.9272,10,12,1,0
60,6.66,12,1.8018,0.21441,17.868,10,12,1,0
6,66.66,88,1.3201,0.1571,1.7852,9,12,1,0
12,33.33,44,1.3201,0.1571,3.5704,9,12,1,0
30,13.33,22,1.6504,0.1964,8.9272,9,12,1,0
60,6.66,11,1.6517,0.19655,17.868,9,12,1,0
6,66.66,120,1.8002,0.21422,1.7852,8,12,1,0
12,33.33,59,1.7702,0.21065,3.5704,8,12,1,0
30,13.33,29,2.1755,0.25889,8.9272,8,12,1,0
60,6.66,15,2.2523,0.26802,17.868,8,12,1,0
6,66.66,82,1.2301,0.14638,1.7852,7,12,1,0
12,33.33,40,1.2001,0.14281,3.5704,7,12,1,0
30,13.33,20,1.5004,0.17854,8.9272,7,12,1,0
60,6.66,10,1.5015,0.17868,17.868,7,12,1,0
6,66.66,78,1.1701,0.13924,1.7852,6,12,1,0
12,33.33,38,1.1401,0.13567,3.5704,6,12,1,0
30,13.33,18,1.3503,0.16069,8.9272,6,12,1,0
60,6.66,9,1.3514,0.16081,17.868,6,12,1,0
6,66.66,53,0.79508,0.094614,1.7852,5,12,1,0
12,33.33,27,0.81008,0.0964,3.5704,5,12,1,0
30,13.33,15,1.1253,0.13391,8.9272,5,12,1,0
60,6.66,7,1.0511,0.12508,17.868,5,12,1,0
6,66.66,64,0.9601,0.11425,1.7852,4,12,1,0
12,33.33,30,0.90009,0.10711,3.5704,4,12,1,0
30,13.33,15,1.1253,0.13391,8.9272,4,12,1,0
60,6.66,8,1.2012,0.14294,17.868,4,12,1,0
6,66.66,67,1.0051,0.11961,1.7852,3,12,1,0
12,33.33,33,0.9901,0.11782,3.5704,3,12,1,0
30,13.33,16,1.2003,0.14284,8.9272,3,12,1,0
60,6.66,9,1.3514,0.16081,17.868,3,12,1,0
6,66.66,61,0.91509,0.1089,1.7852,2,12,1,0
12,33.33,30,0.90009,0.10711,3.5704,2,12,1,0
30,13.33,15,1.1253,0.13391,8.9272,2,12,1,0
60,6.66,7,1.0511,0.12508,17.868,2,12,1,0
6,66.66,41,0.61506,0.073192,1.7852,12,12,0,1
12,33.33,22,0.66007,0.078548,3.5704,12,12,0,1
30,13.33,14,1.0503,0.12498,8.9272,12,12,0,1
60,6.66,7,1.0511,0.12508,17.868,12,12,0,1
6,66.66,37,0.55506,0.066052,1.7852,11,12,0,1
12,33.33,19,0.57006,0.067837,3.5704,11,12,0,1
30,13.33,11,0.82521,0.0982,8.9272,11,12,0,1
60,6.66,6,0.9009,0.10721,17.868,11,12,0,1
6,66.66,51,0.76508,0.091044,1.7852,10,12,0,1
12,33.33,26,0.78008,0.092829,3.5704,10,12,0,1
30,13.33,15,1.1253,0.13391,8.9272,10,12,0,1
60,6.66,7,1.0511,0.12508,17.868,10,12,0,1
6,66.66,64,0.9601,0.11425,1.7852,9,12,0,1
12,33.33,38,1.1401,0.13567,3.5704,9,12,0,1
30,13.33,22,1.6504,0.1964,8.9272,9,12,0,1
60,6.66,10,1.5015,0.17868,17.868,9,12,0,1
6,66.66,86,1.2901,0.15353,1.7852,8,12,0,1
12,33.33,43,1.2901,0.15353,3.5704,8,12,0,1
30,13.33,26,1.9505,0.23211,8.9272,8,12,0,1
60,6.66,12,1.8018,0.21441,17.868,8,12,0,1
6,66.66,98,1.4701,0.17495,1.7852,7,12,0,1
12,33.33,47,1.4101,0.16781,3.5704,7,12,0,1
30,13.33,23,1.7254,0.20533,8.9272,7,12,0,1
60,6.66,12,1.8018,0.21441,17.868,7,12,0,1
6,66.66,92,1.3801,0.16424,1.7852,6,12,0,1
12,33.33,48,1.4401,0.17138,3.5704,6,12,0,1
30,13.33,25,1.8755,0.22318,8.9272,6,12,0,1
60,6.66,13,1.952,0.23228,17.868,6,12,0,1
6,66.66,99,1.4851,0.17673,1.7852,5,12,0,1
12,33.33,48,1.4401,0.17138,3.5704,5,12,0,1
30,13.33,24,1.8005,0.21425,8.9272,5,12,0,1
60,6.66,12,1.8018,0.21441,17.868,5,12,0,1
6,66.66,141,2.1152,0.25171,1.7852,4,12,0,1
12,33.33,60,1.8002,0.21422,3.5704,4,12,0,1
30,13.33,31,2.3256,0.27674,8.9272,4,12,0,1
60,6.66,16,2.4024,0.28589,17.868,4,12,0,1
6,66.66,142,2.1302,0.2535,1.7852,3,12,0,1
12,33.33,70,2.1002,0.24992,3.5704,3,12,0,1
30,13.33,36,2.7007,0.32138,8.9272,3,12,0,1
